s (1,1) 330
(48,2) (48,3) 165
(49,2) (49,3) 711
(50,2) (50,3) 363
(51,2) (51,3) 44
(52,2) (52,3) 644
(53,2) (53,3) 191
(54,2) (54,3) 815
(55,2) (55,3) 970
(56,2) (56,3) 822
(57,2) (57,3) 224
(58,2) (58,3) 760
(59,2) (59,3) 405
(60,2) (60,3) 506
(61,2) (61,3) 761
(62,2) (62,3) 608
(63,2) (63,3) 467
(64,2) (64,3) 601
(65,2) (65,3) 638
(66,2) (66,3) 291
(67,2) (67,3) 720
(68,2) (68,3) 483
(69,2) (69,3) 701
(70,2) (70,3) 237
(71,2) (71,3) 731
(72,2) (72,3) 429
(73,2) (73,3) 315
(74,2) (74,3) 207
(75,2) (75,3) 643
(76,2) (76,3) 660
(77,2) (77,3) 85
(78,2) (78,3) 390
(79,2) (79,3) 663
(80,2) (80,3) 577
(81,2) (81,3) 19
(82,2) (82,3) 24
(83,2) (83,3) 330
(84,2) (84,3) 296
(85,2) (85,3) 30
(86,2) (86,3) 267
(87,2) (87,3) 133
(88,2) (88,3) 38
(89,2) (89,3) 627
(90,2) (90,3) 540
(91,2) (91,3) 31
(92,2) (92,3) 254
(93,2) (93,3) 839
(94,2) (94,3) 297
(95,2) (95,3) 208
(96,2) (96,3) 280
(97,2) (97,3) 138
(98,2) (98,3) 284
(99,2) (99,3) 739
(100,2) (100,3) 464
(101,2) (101,3) 920
(102,2) (102,3) 988
(103,2) (103,3) 649
(104,2) (104,3) 614
(105,2) (105,3) 874
(106,2) (106,3) 961
(107,2) (107,3) 746
(108,2) (108,3) 695
(109,2) (109,3) 868
(110,2) (110,3) 276
(111,2) (111,3) 87
(112,2) (112,3) 152
(113,2) (113,3) 327
(114,2) (114,3) 673
(115,2) (115,3) 459
(116,2) (116,3) 578
(117,2) (117,3) 366
(118,2) (118,3) 850
(119,2) (119,3) 792
(120,2) (120,3) 38
(121,2) (121,3) 518
(122,2) (122,3) 849
(123,2) (123,3) 365
(124,2) (124,3) 245
(125,2) (125,3) 751
(126,2) (126,3) 81
(127,2) (127,3) 909
(128,2) (128,3) 453
(129,2) (129,3) 463
(130,2) (130,3) 753
(131,2) (131,3) 499
(132,2) (132,3) 692
(133,2) (133,3) 358
(134,2) (134,3) 535
(135,2) (135,3) 129
(136,2) (136,3) 58
(137,2) (137,3) 652
(138,2) (138,3) 653
(139,2) (139,3) 816
(140,2) (140,3) 103
(141,2) (141,3) 742
(142,2) (142,3) 51
(143,2) (143,3) 218
(144,2) (144,3) 94
(145,2) (145,3) 559
(146,2) (146,3) 561
(147,2) (147,3) 387
(148,2) (148,3) 709
(149,2) (149,3) 907
(150,2) (150,3) 382
(151,2) (151,3) 398
(152,2) (152,3) 602
(153,2) (153,3) 855
(154,2) (154,3) 538
(155,2) (155,3) 428
(156,2) (156,3) 531
(157,2) (157,3) 476
(158,2) (158,3) 788
(159,2) (159,3) 159
(160,2) (160,3) 18
(161,2) (161,3) 67
(162,2) (162,3) 297
(163,2) (163,3) 44
(164,2) (164,3) 443
(165,2) (165,3) 10
(166,2) (166,3) 338
(167,2) (167,3) 127
(168,2) (168,3) 452
(169,2) (169,3) 684
(170,2) (170,3) 288
(171,2) (171,3) 273
(172,2) (172,3) 120
(173,2) (173,3) 367
(174,2) (174,3) 583
(175,2) (175,3) 364
(176,2) (176,3) 47
(177,2) (177,3) 111
(178,2) (178,3) 540
(179,2) (179,3) 415
(180,2) (180,3) 14
(181,2) (181,3) 176
(182,2) (182,3) 164
(183,2) (183,3) 340
(184,2) (184,3) 46
(185,2) (185,3) 889
(186,2) (186,3) 891
(187,2) (187,3) 327
(188,2) (188,3) 988
(189,2) (189,3) 83
(190,2) (190,3) 54
(191,2) (191,3) 386
(192,2) (192,3) 757
(193,2) (193,3) 480
(194,2) (194,3) 933
(195,2) (195,3) 595
(196,2) (196,3) 659
(197,2) (197,3) 345
(198,2) (198,3) 640
(199,2) (199,3) 287
(200,2) (200,3) 200
(201,2) (201,3) 328
(202,2) (202,3) 181
(203,2) (203,3) 895
(204,2) (204,3) 333
(205,2) (205,3) 956
(206,2) (206,3) 683
(207,2) (207,3) 833
(208,2) (208,3) 544
(209,2) (209,3) 267
(210,2) (210,3) 671
(211,2) (211,3) 122
(212,2) (212,3) 81
(213,2) (213,3) 482
(214,2) (214,3) 712
(215,2) (215,3) 695
(216,2) (216,3) 255
(217,2) (217,3) 607
(218,2) (218,3) 369
(219,2) (219,3) 642
(220,2) (220,3) 939
(221,2) (221,3) 975
(222,2) (222,3) 50
(223,2) (223,3) 409
(224,2) (224,3) 248
(225,2) (225,3) 92
(226,2) (226,3) 907
(227,2) (227,3) 107
(228,2) (228,3) 830
(229,2) (229,3) 134
(230,2) (230,3) 399
