s (1,1) 270
s (267,1) 221
s (268,1) 545
s (269,1) 8
s (270,1) 120
s (271,1) 278
s (272,1) 131
s (273,1) 540
s (274,1) 224
s (275,1) 912
s (276,1) 970
s (277,1) 971
s (278,1) 699
s (279,1) 511
s (280,1) 347
s (281,1) 456
s (282,1) 248
s (283,1) 312
s (284,1) 504
s (285,1) 56
s (286,1) 635
s (287,1) 596
s (288,1) 115
s (289,1) 420
s (290,1) 276
s (291,1) 640
s (292,1) 185
s (293,1) 745
s (294,1) 963
s (295,1) 129
s (296,1) 445
s (297,1) 737
s (298,1) 163
s (299,1) 574
s (300,1) 886
s (301,1) 339
s (302,1) 456
s (303,1) 206
s (304,1) 735
s (305,1) 845
s (306,1) 302
s (307,1) 143
s (308,1) 192
s (309,1) 1
s (310,1) 855
s (311,1) 440
s (312,1) 646
s (313,1) 62
s (314,1) 73
s (315,1) 159
s (316,1) 740
s (317,1) 573
s (318,1) 378
s (319,1) 444
s (320,1) 620
s (321,1) 4
s (322,1) 8
s (323,1) 423
s (324,1) 566
s (325,1) 8
s (326,1) 410
s (327,1) 733
s (328,1) 467
s (329,1) 171
s (330,1) 924
s (331,1) 373
s (332,1) 414
s (333,1) 181
s (334,1) 699
s (335,1) 984
s (336,1) 64
s (337,1) 670
s (338,1) 286
s (339,1) 487
s (340,1) 503
s (341,1) 377
s (342,1) 380
s (343,1) 95
s (344,1) 443
s (345,1) 597
s (346,1) 24
s (347,1) 63
s (348,1) 757
s (349,1) 837
s (350,1) 534
s (351,1) 258
s (352,1) 36
s (353,1) 527
s (354,1) 449
s (355,1) 944
s (356,1) 428
s (357,1) 490
s (358,1) 458
s (359,1) 543
s (360,1) 525
s (361,1) 760
s (362,1) 7
s (363,1) 518
s (364,1) 38
s (365,1) 131
s (366,1) 765
s (367,1) 738
s (368,1) 180
s (369,1) 484
s (370,1) 332
s (371,1) 978
s (372,1) 779
s (373,1) 326
s (374,1) 742
s (375,1) 437
s (376,1) 831
s (377,1) 1
s (378,1) 883
s (379,1) 548
s (380,1) 463
s (381,1) 843
s (382,1) 756
s (383,1) 97
s (384,1) 751
s (385,1) 785
s (386,1) 169
s (387,1) 86
s (388,1) 249
s (389,1) 835
s (390,1) 105
s (391,1) 827
s (392,1) 919
s (393,1) 397
s (394,1) 726
s (395,1) 375
s (396,1) 472
s (397,1) 33
s (398,1) 187
s (399,1) 919
s (400,1) 389
s (401,1) 914
s (402,1) 731
s (403,1) 477
s (404,1) 366
s (405,1) 380
s (406,1) 688
s (407,1) 448
s (408,1) 413
s (409,1) 359
s (410,1) 12
s (411,1) 489
s (412,1) 543
s (413,1) 282
s (414,1) 255
s (415,1) 478
s (416,1) 242
s (417,1) 877
s (418,1) 877
s (419,1) 559
s (420,1) 168
s (421,1) 110
s (422,1) 947
s (423,1) 861
s (424,1) 95
s (425,1) 677
s (426,1) 6
s (427,1) 82
s (428,1) 298
s (429,1) 571
s (430,1) 753
s (431,1) 868
s (432,1) 759
s (433,1) 21
s (434,1) 185
s (435,1) 836
s (436,1) 941
s (437,1) 559
s (438,1) 182
s (439,1) 683
s (440,1) 170
s (441,1) 187
s (442,1) 656
s (443,1) 691
s (444,1) 47
s (445,1) 432
s (446,1) 643
s (447,1) 267
s (448,1) 305
s (449,1) 55
s (450,1) 577
s (451,1) 461
s (452,1) 605
s (453,1) 841
s (454,1) 235
s (455,1) 905
s (456,1) 591
s (457,1) 613
s (458,1) 444
s (459,1) 261
s (460,1) 662
s (461,1) 38
s (462,1) 937
s (463,1) 668
s (464,1) 479
s (465,1) 64
s (466,1) 368
s (467,1) 306
s (468,1) 221
s (469,1) 299
s (470,1) 933
s (471,1) 882
s (472,1) 538
s (473,1) 96
s (474,1) 163
s (475,1) 414
s (476,1) 533
s (477,1) 440
s (478,1) 237
s (479,1) 958
s (480,1) 416
s (481,1) 404
s (482,1) 361
s (483,1) 893
s (484,1) 52
s (485,1) 471
s (486,1) 453
s (487,1) 420
s (488,1) 331
s (489,1) 280
s (490,1) 690
s (491,1) 929
s (492,1) 834
s (493,1) 524
s (494,1) 361
s (495,1) 715
s (496,1) 849
s (497,1) 128
s (498,1) 526
s (499,1) 228
s (500,1) 169
s (501,1) 612
s (502,1) 520
s (503,1) 265
s (504,1) 369
s (505,1) 218
s (506,1) 569
s (507,1) 254
s (508,1) 676
s (509,1) 342
s (510,1) 761
s (511,1) 450
s (512,1) 154
s (513,1) 680
s (514,1) 193
s (515,1) 738
s (516,1) 89
s (517,1) 28
s (518,1) 390
s (519,1) 490
s (520,1) 553
s (521,1) 731
s (522,1) 333
s (523,1) 581
s (524,1) 681
s (525,1) 346
s (526,1) 669
s (527,1) 749
s (528,1) 937
s (529,1) 56
s (530,1) 653
s (531,1) 70
s (532,1) 45
s (533,1) 414
s (534,1) 819
s (535,1) 821
s (536,1) 866
s (537,1) 487
s (538,1) 942
s (539,1) 455
s (540,1) 656
s (541,1) 238
s (542,1) 105
s (543,1) 620
s (544,1) 36
s (545,1) 982
s (546,1) 253
s (547,1) 506
s (548,1) 873
s (549,1) 388
s (550,1) 377
s (551,1) 77
s (552,1) 251
s (553,1) 489
s (554,1) 929
s (555,1) 412
s (556,1) 903
s (557,1) 541
s (558,1) 208
s (559,1) 839
s (560,1) 402
s (561,1) 485
s (562,1) 650
s (563,1) 340
s (564,1) 317
s (565,1) 773
s (566,1) 731
s (567,1) 337
s (568,1) 234
s (569,1) 24
s (570,1) 438
s (571,1) 516
s (572,1) 93
s (573,1) 972
s (574,1) 547
s (575,1) 47
s (576,1) 2
s (577,1) 715
s (578,1) 513
s (579,1) 567
s (580,1) 383
s (581,1) 331
s (582,1) 547
s (583,1) 883
s (584,1) 845
s (585,1) 367
s (586,1) 529
s (587,1) 649
s (588,1) 937
s (589,1) 183
s (590,1) 246
s (591,1) 180
s (592,1) 337
s (593,1) 427
s (594,1) 474
s (595,1) 442
s (596,1) 229
s (597,1) 341
s (598,1) 739
s (599,1) 666
s (600,1) 524
s (601,1) 563
s (602,1) 285
s (603,1) 754
s (604,1) 808
s (605,1) 252
s (606,1) 315
s (607,1) 471
s (608,1) 607
s (609,1) 306
s (610,1) 56
s (611,1) 158
s (612,1) 311
s (613,1) 493
s (614,1) 735
s (615,1) 399
s (616,1) 252
s (617,1) 753
s (618,1) 771
s (619,1) 857
s (620,1) 681
s (621,1) 654
s (622,1) 340
s (623,1) 256
s (624,1) 330
s (625,1) 933
s (626,1) 199
s (627,1) 683
s (628,1) 585
s (629,1) 410
s (630,1) 944
s (631,1) 786
s (632,1) 325
s (633,1) 636
s (634,1) 254
s (635,1) 397
s (636,1) 891
s (637,1) 50
s (638,1) 852
s (639,1) 872
s (640,1) 816
s (641,1) 400
s (642,1) 504
s (643,1) 555
s (644,1) 652
s (645,1) 406
s (646,1) 753
s (647,1) 157
s (648,1) 116
s (649,1) 514
s (650,1) 50
s (651,1) 168
s (652,1) 309
s (653,1) 796
s (654,1) 773
s (655,1) 295
s (656,1) 136
s (657,1) 623
s (658,1) 86
s (659,1) 188
s (660,1) 782
s (661,1) 376
s (662,1) 813
s (663,1) 511
s (664,1) 705
s (665,1) 534
s (666,1) 175
s (667,1) 225
s (668,1) 196
s (669,1) 794
s (670,1) 306
s (671,1) 519
s (672,1) 960
s (673,1) 48
s (674,1) 419
s (675,1) 233
s (676,1) 533
s (677,1) 603
s (678,1) 126
s (679,1) 458
s (680,1) 857
s (681,1) 654
s (682,1) 721
s (683,1) 10
s (684,1) 360
s (685,1) 543
s (686,1) 966
s (687,1) 14
s (688,1) 688
s (689,1) 110
s (690,1) 667
s (691,1) 185
s (692,1) 463
s (693,1) 603
s (694,1) 463
s (695,1) 468
s (696,1) 811
s (697,1) 470
s (698,1) 691
s (699,1) 562
s (700,1) 838
s (701,1) 416
s (702,1) 954
s (703,1) 343
s (704,1) 596
s (705,1) 655
s (706,1) 526
s (707,1) 798
s (708,1) 491
s (709,1) 342
s (710,1) 673
s (711,1) 472
s (712,1) 822
s (713,1) 898
s (714,1) 870
s (715,1) 890
s (716,1) 286
s (717,1) 729
s (718,1) 842
s (719,1) 432
s (720,1) 189
s (721,1) 694
s (722,1) 313
s (723,1) 550
s (724,1) 312
s (725,1) 455
s (726,1) 305
s (727,1) 542
s (728,1) 800
s (729,1) 392
s (730,1) 781
s (731,1) 403
s (732,1) 413
s (733,1) 504
s (734,1) 383
s (735,1) 172
s (736,1) 416
s (737,1) 48
s (738,1) 558
s (739,1) 780
s (740,1) 355
s (741,1) 52
s (742,1) 967
s (743,1) 70
s (744,1) 720
s (745,1) 842
s (746,1) 803
s (747,1) 141
s (748,1) 211
s (749,1) 912
s (750,1) 277
s (751,1) 738
s (752,1) 476
s (753,1) 786
s (754,1) 646
s (755,1) 615
s (756,1) 933
s (757,1) 672
s (758,1) 167
s (759,1) 240
s (760,1) 940
s (761,1) 982
s (762,1) 162
s (763,1) 137
s (764,1) 933
s (765,1) 534
s (766,1) 782
s (767,1) 514
s (768,1) 224
s (769,1) 304
s (770,1) 149
s (771,1) 376
s (772,1) 762
s (773,1) 505
s (774,1) 43
s (775,1) 829
s (776,1) 635
s (777,1) 905
s (778,1) 989
s (779,1) 127
s (780,1) 139
s (781,1) 950
s (782,1) 748
s (783,1) 926
s (784,1) 537
s (785,1) 775
s (786,1) 365
s (787,1) 583
s (788,1) 106
s (789,1) 323
s (790,1) 598
s (791,1) 870
s (792,1) 450
s (793,1) 151
s (794,1) 38
s (795,1) 920
s (796,1) 123
s (797,1) 206
s (798,1) 986
s (799,1) 678
s (800,1) 503
s (801,1) 754
s (802,1) 536
s (803,1) 293
s (804,1) 779
s (805,1) 945
s (806,1) 225
s (807,1) 483
s (808,1) 434
s (809,1) 460
s (810,1) 552
s (811,1) 780
s (812,1) 506
s (813,1) 17
s (814,1) 58
s (815,1) 730
s (816,1) 408
s (817,1) 504
s (818,1) 569
s (819,1) 27
s (820,1) 539
s (821,1) 394
s (822,1) 417
s (823,1) 828
s (824,1) 479
s (825,1) 237
s (826,1) 213
s (827,1) 828
s (828,1) 25
s (829,1) 748
s (830,1) 815
s (831,1) 795
s (832,1) 458
s (833,1) 395
s (834,1) 891
s (835,1) 945
s (836,1) 10
s (837,1) 601
s (838,1) 150
s (839,1) 675
s (840,1) 114
s (841,1) 630
s (842,1) 448
s (843,1) 935
s (844,1) 997
s (845,1) 540
s (846,1) 675
s (847,1) 25
s (848,1) 692
s (849,1) 897
s (850,1) 207
s (851,1) 63
s (852,1) 885
s (853,1) 610
s (854,1) 28
s (855,1) 159
s (856,1) 615
s (857,1) 284
s (858,1) 427
s (859,1) 128
s (860,1) 493
s (861,1) 732
s (862,1) 986
s (863,1) 997
s (864,1) 292
s (865,1) 591
s (866,1) 106
s (867,1) 582
s (868,1) 267
s (869,1) 611
s (870,1) 422
s (871,1) 609
s (872,1) 830
s (873,1) 140
s (874,1) 313
s (875,1) 830
s (876,1) 703
s (877,1) 866
s (878,1) 92
s (879,1) 288
s (880,1) 530
s (881,1) 848
s (882,1) 660
s (883,1) 831
s (884,1) 66
s (885,1) 240
s (886,1) 164
s (887,1) 282
s (888,1) 253
s (889,1) 273
s (890,1) 348
s (891,1) 161
s (892,1) 521
s (893,1) 858
s (894,1) 606
s (895,1) 217
s (896,1) 258
s (897,1) 249
s (898,1) 160
s (899,1) 353
s (900,1) 722
s (901,1) 228
s (902,1) 355
s (903,1) 425
s (904,1) 107
s (905,1) 681
s (906,1) 511
s (907,1) 747
s (908,1) 196
s (909,1) 753
s (910,1) 89
s (911,1) 9
s (912,1) 5
s (913,1) 6
s (914,1) 506
s (915,1) 950
s (916,1) 760
s (917,1) 830
s (918,1) 389
s (919,1) 585
s (920,1) 150
s (921,1) 600
s (922,1) 732
s (923,1) 99
s (924,1) 763
s (925,1) 603
s (926,1) 895
s (927,1) 122
s (928,1) 352
s (929,1) 517
s (930,1) 459
s (931,1) 782
s (932,1) 459
s (933,1) 729
s (934,1) 947
s (935,1) 592
s (936,1) 253
s (937,1) 722
s (938,1) 462
s (939,1) 179
s (940,1) 888
s (941,1) 36
s (942,1) 133
s (943,1) 330
s (944,1) 58
s (945,1) 970
s (946,1) 614
s (947,1) 761
s (948,1) 834
s (949,1) 529
s (950,1) 441
s (951,1) 720
s (952,1) 54
s (953,1) 148
s (954,1) 591
s (955,1) 130
s (956,1) 295
s (957,1) 369
s (958,1) 786
s (959,1) 508
s (960,1) 314
s (961,1) 248
s (962,1) 582
s (963,1) 872
s (964,1) 323
s (965,1) 764
s (966,1) 746
s (967,1) 545
s (968,1) 488
s (969,1) 482
s (970,1) 450
s (971,1) 81
s (972,1) 711
s (973,1) 479
s (974,1) 628
s (975,1) 575
s (976,1) 429
s (977,1) 590
s (978,1) 228
s (979,1) 172
s (980,1) 756
s (981,1) 686
s (982,1) 583
s (983,1) 284
s (984,1) 296
s (985,1) 33
s (986,1) 529
s (987,1) 482
s (988,1) 559
s (989,1) 673
s (990,1) 43
s (991,1) 715
s (992,1) 499
s (993,1) 926
s (994,1) 652
s (995,1) 45
s (996,1) 573
s (997,1) 907
s (998,1) 539
s (999,1) 993
s (1000,1) 631
(1,1) (1,2) 774
(2,1) (2,2) 6
(3,1) (3,2) 755
(4,1) (4,2) 789
(5,1) (5,2) 341
(6,1) (6,2) 538
(7,1) (7,2) 594
(8,1) (8,2) 993
(9,1) (9,2) 270
(10,1) (10,2) 672
(11,1) (11,2) 363
(12,1) (12,2) 147
(13,1) (13,2) 439
(14,1) (14,2) 944
(15,1) (15,2) 256
(16,1) (16,2) 873
(17,1) (17,2) 940
(18,1) (18,2) 493
(19,1) (19,2) 910
(20,1) (20,2) 568
(21,1) (21,2) 775
(22,1) (22,2) 245
(23,1) (23,2) 188
(24,1) (24,2) 831
(25,1) (25,2) 714
(26,1) (26,2) 347
(27,1) (27,2) 231
(28,1) (28,2) 612
(29,1) (29,2) 800
(30,1) (30,2) 594
(31,1) (31,2) 650
(32,1) (32,2) 614
(33,1) (33,2) 473
(34,1) (34,2) 16
(35,1) (35,2) 707
(36,1) (36,2) 207
(37,1) (37,2) 828
(38,1) (38,2) 28
(39,1) (39,2) 833
(40,1) (40,2) 355
(41,1) (41,2) 575
(42,1) (42,2) 702
(43,1) (43,2) 265
(44,1) (44,2) 1
(45,1) (45,2) 834
(46,1) (46,2) 306
(47,1) (47,2) 544
(48,1) (48,2) 133
(49,1) (49,2) 353
(50,1) (50,2) 233
(51,1) (51,2) 211
(52,1) (52,2) 519
(53,1) (53,2) 640
(54,1) (54,2) 492
(55,1) (55,2) 666
(56,1) (56,2) 980
(57,1) (57,2) 321
(58,1) (58,2) 181
(59,1) (59,2) 675
(60,1) (60,2) 638
(61,1) (61,2) 336
(62,1) (62,2) 420
(63,1) (63,2) 402
(64,1) (64,2) 979
(65,1) (65,2) 320
(66,1) (66,2) 506
(67,1) (67,2) 846
(68,1) (68,2) 399
(69,1) (69,2) 719
(70,1) (70,2) 70
(71,1) (71,2) 31
(72,1) (72,2) 719
(73,1) (73,2) 748
(74,1) (74,2) 122
(75,1) (75,2) 788
(76,1) (76,2) 468
(77,1) (77,2) 329
(78,1) (78,2) 49
(79,1) (79,2) 865
(80,1) (80,2) 767
(81,1) (81,2) 507
(82,1) (82,2) 223
(83,1) (83,2) 733
(84,1) (84,2) 887
(85,1) (85,2) 694
(86,1) (86,2) 956
(87,1) (87,2) 337
(88,1) (88,2) 188
(89,1) (89,2) 278
(90,1) (90,2) 423
(91,1) (91,2) 317
(92,1) (92,2) 175
(93,1) (93,2) 200
(94,1) (94,2) 76
(95,1) (95,2) 357
(96,1) (96,2) 768
(97,1) (97,2) 535
(98,1) (98,2) 345
(99,1) (99,2) 712
(100,1) (100,2) 475
(101,1) (101,2) 418
(102,1) (102,2) 307
(103,1) (103,2) 817
(104,1) (104,2) 256
(105,1) (105,2) 378
(106,1) (106,2) 47
(107,1) (107,2) 926
(108,1) (108,2) 126
(109,1) (109,2) 426
(110,1) (110,2) 879
(111,1) (111,2) 318
(112,1) (112,2) 540
(113,1) (113,2) 239
(114,1) (114,2) 708
(115,1) (115,2) 896
(116,1) (116,2) 252
(117,1) (117,2) 567
(118,1) (118,2) 395
(119,1) (119,2) 142
(120,1) (120,2) 52
(121,1) (121,2) 446
(122,1) (122,2) 469
(123,1) (123,2) 48
(124,1) (124,2) 841
(125,1) (125,2) 843
(126,1) (126,2) 302
(127,1) (127,2) 749
(128,1) (128,2) 298
(129,1) (129,2) 1
(130,1) (130,2) 794
(131,1) (131,2) 333
(132,1) (132,2) 158
(133,1) (133,2) 833
(134,1) (134,2) 703
(135,1) (135,2) 825
(136,1) (136,2) 980
(137,1) (137,2) 621
(138,1) (138,2) 899
(139,1) (139,2) 508
(140,1) (140,2) 693
(141,1) (141,2) 335
(142,1) (142,2) 571
(143,1) (143,2) 299
(144,1) (144,2) 24
(145,1) (145,2) 664
(146,1) (146,2) 748
(147,1) (147,2) 375
(148,1) (148,2) 290
(149,1) (149,2) 29
(150,1) (150,2) 802
(151,1) (151,2) 52
(152,1) (152,2) 359
(153,1) (153,2) 524
(154,1) (154,2) 83
(155,1) (155,2) 793
(156,1) (156,2) 49
(157,1) (157,2) 364
(158,1) (158,2) 903
(159,1) (159,2) 560
(160,1) (160,2) 28
(161,1) (161,2) 546
(162,1) (162,2) 551
(163,1) (163,2) 712
(164,1) (164,2) 716
(165,1) (165,2) 80
(166,1) (166,2) 390
(167,1) (167,2) 709
(168,1) (168,2) 940
(169,1) (169,2) 328
(170,1) (170,2) 464
(171,1) (171,2) 530
(172,1) (172,2) 468
(173,1) (173,2) 638
(174,1) (174,2) 694
(175,1) (175,2) 700
(176,1) (176,2) 830
(177,1) (177,2) 51
(178,1) (178,2) 787
(179,1) (179,2) 463
(180,1) (180,2) 325
(181,1) (181,2) 158
(182,1) (182,2) 847
(183,1) (183,2) 375
(184,1) (184,2) 930
(185,1) (185,2) 85
(186,1) (186,2) 29
(187,1) (187,2) 221
(188,1) (188,2) 764
(189,1) (189,2) 121
(190,1) (190,2) 298
(191,1) (191,2) 625
(192,1) (192,2) 547
(193,1) (193,2) 567
(194,1) (194,2) 309
(195,1) (195,2) 294
(196,1) (196,2) 754
(197,1) (197,2) 75
(198,1) (198,2) 597
(199,1) (199,2) 729
(200,1) (200,2) 231
(201,1) (201,2) 735
(202,1) (202,2) 916
(203,1) (203,2) 883
(204,1) (204,2) 799
(205,1) (205,2) 409
(206,1) (206,2) 550
(207,1) (207,2) 614
(208,1) (208,2) 203
(209,1) (209,2) 171
(210,1) (210,2) 285
(211,1) (211,2) 500
(212,1) (212,2) 697
(213,1) (213,2) 460
(214,1) (214,2) 109
(215,1) (215,2) 331
(216,1) (216,2) 929
(217,1) (217,2) 836
(218,1) (218,2) 287
(219,1) (219,2) 221
(220,1) (220,2) 21
(221,1) (221,2) 404
(222,1) (222,2) 924
(223,1) (223,2) 812
(224,1) (224,2) 475
(225,1) (225,2) 508
(226,1) (226,2) 448
(227,1) (227,2) 579
(228,1) (228,2) 802
(229,1) (229,2) 430
(230,1) (230,2) 832
(231,1) (231,2) 175
(232,1) (232,2) 775
(233,1) (233,2) 943
(234,1) (234,2) 433
(235,1) (235,2) 860
(236,1) (236,2) 755
(237,1) (237,2) 742
(238,1) (238,2) 687
(239,1) (239,2) 860
(240,1) (240,2) 586
(241,1) (241,2) 141
(242,1) (242,2) 758
(243,1) (243,2) 962
(244,1) (244,2) 451
(245,1) (245,2) 461
(246,1) (246,2) 953
(247,1) (247,2) 245
(248,1) (248,2) 303
(249,1) (249,2) 422
(250,1) (250,2) 125
(251,1) (251,2) 616
(252,1) (252,2) 256
(253,1) (253,2) 851
(254,1) (254,2) 856
(255,1) (255,2) 582
(256,1) (256,2) 423
(257,1) (257,2) 572
(258,1) (258,2) 699
(259,1) (259,2) 899
(260,1) (260,2) 722
(261,1) (261,2) 53
(262,1) (262,2) 738
(263,1) (263,2) 789
(264,1) (264,2) 624
(265,1) (265,2) 716
(266,1) (266,2) 836
(267,1) (267,2) 457
(268,1) (268,2) 698
(269,1) (269,2) 792
(270,1) (270,2) 539
(271,1) (271,2) 666
(272,1) (272,2) 369
(273,1) (273,2) 740
(274,1) (274,2) 530
(275,1) (275,2) 733
(276,1) (276,2) 318
(277,1) (277,2) 603
(278,1) (278,2) 350
(279,1) (279,2) 472
(280,1) (280,2) 753
(281,1) (281,2) 622
(282,1) (282,2) 922
(283,1) (283,2) 848
(284,1) (284,2) 353
(285,1) (285,2) 641
(286,1) (286,2) 579
(287,1) (287,2) 722
(288,1) (288,2) 708
(289,1) (289,2) 163
(290,1) (290,2) 788
(291,1) (291,2) 233
(292,1) (292,2) 85
(293,1) (293,2) 644
(294,1) (294,2) 967
(295,1) (295,2) 654
(296,1) (296,2) 472
(297,1) (297,2) 425
(298,1) (298,2) 177
(299,1) (299,2) 454
(300,1) (300,2) 482
(301,1) (301,2) 163
(302,1) (302,2) 145
(303,1) (303,2) 637
(304,1) (304,2) 361
(305,1) (305,2) 741
(306,1) (306,2) 357
(307,1) (307,2) 32
(308,1) (308,2) 653
(309,1) (309,2) 724
(310,1) (310,2) 616
(311,1) (311,2) 480
(312,1) (312,2) 347
(313,1) (313,2) 553
(314,1) (314,2) 108
(315,1) (315,2) 275
(316,1) (316,2) 260
(317,1) (317,2) 762
(318,1) (318,2) 88
(319,1) (319,2) 524
(320,1) (320,2) 750
(321,1) (321,2) 391
(322,1) (322,2) 94
(323,1) (323,2) 650
(324,1) (324,2) 534
(325,1) (325,2) 359
(326,1) (326,2) 20
(327,1) (327,2) 271
(328,1) (328,2) 537
(329,1) (329,2) 907
(330,1) (330,2) 876
(331,1) (331,2) 647
(332,1) (332,2) 894
(333,1) (333,2) 578
(334,1) (334,2) 914
(335,1) (335,2) 112
(336,1) (336,2) 473
(337,1) (337,2) 788
(338,1) (338,2) 114
(339,1) (339,2) 472
(340,1) (340,2) 94
(341,1) (341,2) 619
(342,1) (342,2) 452
(343,1) (343,2) 74
(344,1) (344,2) 496
(345,1) (345,2) 986
(346,1) (346,2) 181
(347,1) (347,2) 667
(348,1) (348,2) 550
(349,1) (349,2) 249
(350,1) (350,2) 971
(351,1) (351,2) 913
(352,1) (352,2) 56
(353,1) (353,2) 593
(354,1) (354,2) 700
(355,1) (355,2) 546
(356,1) (356,2) 132
(357,1) (357,2) 850
(358,1) (358,2) 748
(359,1) (359,2) 978
(360,1) (360,2) 23
(361,1) (361,2) 517
(362,1) (362,2) 41
(363,1) (363,2) 447
(364,1) (364,2) 666
(365,1) (365,2) 667
(366,1) (366,2) 356
(367,1) (367,2) 815
(368,1) (368,2) 451
(369,1) (369,2) 748
(370,1) (370,2) 783
(371,1) (371,2) 881
(372,1) (372,2) 925
(373,1) (373,2) 811
(374,1) (374,2) 725
(375,1) (375,2) 121
(376,1) (376,2) 821
(377,1) (377,2) 134
(378,1) (378,2) 147
(379,1) (379,2) 604
(380,1) (380,2) 857
(381,1) (381,2) 732
(382,1) (382,2) 881
(383,1) (383,2) 883
